,Campus,Building,Room,Capacity,Date,Day,SurveyPercentage,Count,LogDate,Module,NoStudents,WeekNo
87,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,27,2015-11-03 11:40:38,COMP30260,18,45/2015
88,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,27,2015-11-03 11:45:06,COMP30260,18,45/2015
89,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,36,2015-11-03 11:50:25,COMP30260,18,45/2015
90,Belfield,Computer Science,B-002,90,2015-11-03 11:00:00,Tue,0.5,32,2015-11-03 11:56:07,COMP30260,18,45/2015
91,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,8,2015-11-03 11:00:16,COMP10280,56,45/2015
92,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,4,2015-11-03 11:05:25,COMP10280,56,45/2015
93,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,36,2015-11-03 11:10:09,COMP10280,56,45/2015
94,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,63,2015-11-03 11:14:50,COMP10280,56,45/2015
95,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,63,2015-11-03 11:19:48,COMP10280,56,45/2015
96,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,67,2015-11-03 11:24:51,COMP10280,56,45/2015
97,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,64,2015-11-03 11:33:13,COMP10280,56,45/2015
98,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,66,2015-11-03 11:40:38,COMP10280,56,45/2015
99,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,67,2015-11-03 11:45:06,COMP10280,56,45/2015
100,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,71,2015-11-03 11:50:25,COMP10280,56,45/2015
101,Belfield,Computer Science,B-003,90,2015-11-03 11:00:00,Tue,0.75,64,2015-11-03 11:56:07,COMP10280,56,45/2015
102,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,68,2015-11-03 12:01:23,COMP30080,139,45/2015
103,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,88,2015-11-03 12:06:30,COMP30080,139,45/2015
104,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,100,2015-11-03 12:11:07,COMP30080,139,45/2015
105,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,105,2015-11-03 12:15:55,COMP30080,139,45/2015
106,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,108,2015-11-03 12:20:57,COMP30080,139,45/2015
107,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,105,2015-11-03 12:25:58,COMP30080,139,45/2015
108,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,112,2015-11-03 12:31:02,COMP30080,139,45/2015
109,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,114,2015-11-03 12:36:12,COMP30080,139,45/2015
110,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,116,2015-11-03 12:41:24,COMP30080,139,45/2015
111,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,112,2015-11-03 12:46:32,COMP30080,139,45/2015
112,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,110,2015-11-03 12:51:57,COMP30080,139,45/2015
113,Belfield,Computer Science,B-004,220,2015-11-03 12:00:00,Tue,0.5,71,2015-11-03 12:57:37,COMP30080,139,45/2015
114,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,31,2015-11-03 12:01:23,COMP40370,27,45/2015
115,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,20,2015-11-03 12:06:30,COMP40370,27,45/2015
116,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,21,2015-11-03 12:11:07,COMP40370,27,45/2015
117,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,21,2015-11-03 12:15:55,COMP40370,27,45/2015
118,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,20,2015-11-03 12:20:57,COMP40370,27,45/2015
119,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,12,2015-11-03 12:25:58,COMP40370,27,45/2015
120,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,7,2015-11-03 12:31:02,COMP40370,27,45/2015
121,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,6,2015-11-03 12:36:12,COMP40370,27,45/2015
122,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,5,2015-11-03 12:41:24,COMP40370,27,45/2015
123,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,3,2015-11-03 12:46:32,COMP40370,27,45/2015
124,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,3,2015-11-03 12:51:57,COMP40370,27,45/2015
125,Belfield,Computer Science,B-002,90,2015-11-03 12:00:00,Tue,0.5,21,2015-11-03 12:57:37,COMP40370,27,45/2015
126,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,44,2015-11-03 12:01:23,,,45/2015
127,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,22,2015-11-03 12:06:30,,,45/2015
128,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,17,2015-11-03 12:11:07,,,45/2015
129,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,20,2015-11-03 12:15:55,,,45/2015
130,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,20,2015-11-03 12:20:57,,,45/2015
131,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,20,2015-11-03 12:25:58,,,45/2015
132,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,19,2015-11-03 12:31:02,,,45/2015
133,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,14,2015-11-03 12:36:12,,,45/2015
134,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,11,2015-11-03 12:41:24,,,45/2015
135,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,9,2015-11-03 12:46:32,,,45/2015
136,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,7,2015-11-03 12:51:57,,,45/2015
137,Belfield,Computer Science,B-003,90,2015-11-03 12:00:00,Tue,0.25,29,2015-11-03 12:57:37,,,45/2015
138,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,47,2015-11-03 13:03:01,COMP20110,103,45/2015
139,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,49,2015-11-03 13:08:10,COMP20110,103,45/2015
140,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,52,2015-11-03 13:12:42,COMP20110,103,45/2015
141,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,52,2015-11-03 13:17:24,COMP20110,103,45/2015
